,Air_name,Departure_time,Arrival_time,Duration,Total_stops,Price
0,Air Asia,14:40,22:25,7h 45m,Non Stop,"5,953"
1,Air Asia,21:25,06:45,9h 20m,Non Stop,"5,953"
2,Air Asia,21:25,07:15,9h 50m,Non Stop,"5,953"
3,Air Asia,20:45,06:45,10h 00m,Non Stop,"5,953"
4,Air Asia,20:45,07:15,10h 30m,Non Stop,"5,953"
5,Air Asia,09:35,20:35,11h 00m,Non Stop,"5,953"
6,Air Asia,18:35,06:45,12h 10m,Non Stop,"5,953"
7,Air Asia,08:00,20:35,12h 35m,Non Stop,"5,953"
8,Air Asia,18:35,07:15,12h 40m,Non Stop,"5,953"
9,Air Asia,22:10,12:25,14h 15m,Non Stop,"5,953"
10,Go First,07:00,09:10,2h 10m,Non Stop,"5,954"
11,Go First,08:00,10:10,2h 10m,Non Stop,"5,954"
12,Go First,22:30,00:40,2h 10m,Non Stop,"5,954"
13,Go First,02:40,04:55,2h 15m,Non Stop,"5,954"
14,Go First,19:40,21:55,2h 15m,Non Stop,"5,954"
15,Go First,21:00,23:15,2h 15m,Non Stop,"5,954"
16,Go First,10:30,12:50,2h 20m,Non Stop,"5,954"
17,Go First,15:00,17:30,2h 30m,Non Stop,"5,954"
18,Go First,17:55,20:25,2h 30m,Non Stop,"5,954"
19,Go First,09:10,16:15,7h 05m,Non Stop,"5,954"
20,Air India,07:00,09:05,2h 05m,Non Stop,"5,955"
21,IndiGo,06:30,08:40,2h 10m,Non Stop,"5,955"
22,Air India,08:00,10:10,2h 10m,Non Stop,"5,955"
23,IndiGo,08:10,10:20,2h 10m,Non Stop,"5,955"
24,Air India,10:40,12:50,2h 10m,Non Stop,"5,955"
25,Air India,07:00,08:55,1h 55m,Non Stop,"4,919"
26,Air India,08:00,10:15,2h 15m,Non Stop,"4,919"
27,Air India,10:00,12:15,2h 15m,Non Stop,"4,919"
28,Air India,19:00,21:15,2h 15m,Non Stop,"4,919"
29,Air India,15:25,19:20,3h 55m,Non Stop,"4,919"
30,Air India,07:05,11:10,4h 05m,Non Stop,"4,919"
31,Air India,18:00,20:30,2h 30m,Non Stop,"5,404"
32,Air Asia,21:20,02:50,5h 30m,Non Stop,"5,941"
33,Air Asia,08:20,14:00,5h 40m,Non Stop,"5,941"
34,Air Asia,04:45,10:55,6h 10m,Non Stop,"5,941"
35,Air Asia,21:20,03:35,6h 15m,Non Stop,"5,941"
36,Air Asia,02:35,08:55,6h 20m,Non Stop,"5,941"
37,Air Asia,17:50,01:00,7h 10m,Non Stop,"5,941"
38,Air Asia,08:20,16:15,7h 55m,Non Stop,"5,941"
39,Air Asia,23:35,10:55,11h 20m,Non Stop,"5,941"
40,Air Asia,02:35,14:05,11h 30m,Non Stop,"5,941"
41,Air Asia,21:20,08:55,11h 35m,Non Stop,"5,941"
42,Go First,06:00,08:10,2h 10m,Non Stop,"5,942"
43,Go First,08:00,10:10,2h 10m,Non Stop,"5,942"
44,Go First,13:30,15:40,2h 10m,Non Stop,"5,942"
45,Go First,18:00,20:10,2h 10m,Non Stop,"5,942"
46,Go First,22:40,00:50,2h 10m,Non Stop,"5,942"
47,Go First,09:55,12:10,2h 15m,Non Stop,"5,942"
48,Go First,12:15,14:30,2h 15m,Non Stop,"5,942"
49,Go First,21:15,23:30,2h 15m,Non Stop,"5,942"
50,Air Asia,14:40,22:25,7h 45m,Non Stop,"5,953"
51,Air India,07:00,08:55,1h 55m,Non Stop,"5,953"
52,Air Asia,14:40,22:25,7h 45m,Non Stop,"5,953"
53,Air Asia,21:25,06:45,9h 20m,Non Stop,"5,953"
54,Air Asia,21:25,07:15,9h 50m,Non Stop,"5,953"
55,Air Asia,20:45,06:45,10h 00m,Non Stop,"5,953"
56,Air Asia,20:45,07:15,10h 30m,Non Stop,"5,953"
57,Air Asia,09:35,20:35,11h 00m,Non Stop,"5,953"
58,Air Asia,18:35,06:45,12h 10m,Non Stop,"5,953"
59,Air Asia,08:00,20:35,12h 35m,Non Stop,"5,953"
60,Air Asia,18:35,07:15,12h 40m,Non Stop,"5,954"
61,Air Asia,22:10,12:25,14h 15m,Non Stop,"5,954"
62,Go First,07:00,09:10,2h 10m,Non Stop,"5,954"
63,Go First,08:00,10:10,2h 10m,Non Stop,"5,954"
64,Go First,22:30,00:40,2h 10m,Non Stop,"5,954"
65,Go First,02:40,04:55,2h 15m,Non Stop,"5,954"
66,Go First,19:40,21:55,2h 15m,Non Stop,"5,954"
67,Go First,21:00,23:15,2h 15m,Non Stop,"5,954"
68,Go First,10:30,12:50,2h 20m,Non Stop,"5,954"
69,Go First,15:00,17:30,2h 30m,Non Stop,"5,954"
70,Go First,17:55,20:25,2h 30m,Non Stop,"5,955"
71,Go First,09:10,16:15,7h 05m,Non Stop,"5,955"
72,Air India,07:00,09:05,2h 05m,Non Stop,"5,955"
73,IndiGo,06:30,08:40,2h 10m,Non Stop,"5,955"
74,Air India,08:00,10:10,2h 10m,Non Stop,"5,955"
75,IndiGo,08:10,10:20,2h 10m,Non Stop,"4,919"
76,Air India,10:40,12:50,2h 10m,Non Stop,"4,919"
77,Air India,07:00,08:55,1h 55m,Non Stop,"4,919"
78,Air India,08:00,10:15,2h 15m,Non Stop,"4,919"
79,Air India,10:00,12:15,2h 15m,Non Stop,"4,919"
80,Air India,19:00,21:15,2h 15m,Non Stop,"4,919"
81,Air India,15:25,19:20,3h 55m,Non Stop,"5,404"
82,Air India,07:05,11:10,4h 05m,Non Stop,"5,941"
83,Air India,18:00,20:30,2h 30m,Non Stop,"5,941"
84,Air Asia,21:20,02:50,5h 30m,Non Stop,"5,941"
85,Air Asia,08:20,14:00,5h 40m,Non Stop,"5,941"
86,Air Asia,04:45,10:55,6h 10m,Non Stop,"5,941"
87,Air Asia,21:20,03:35,6h 15m,Non Stop,"5,941"
88,Air Asia,02:35,08:55,6h 20m,Non Stop,"5,941"
89,Air Asia,17:50,01:00,7h 10m,Non Stop,"5,941"
90,Air Asia,08:20,16:15,7h 55m,Non Stop,"5,941"
91,Air Asia,23:35,10:55,11h 20m,Non Stop,"5,941"
92,Air Asia,02:35,14:05,11h 30m,Non Stop,"5,942"
93,Air Asia,21:20,08:55,11h 35m,Non Stop,"5,942"
94,Go First,06:00,08:10,2h 10m,Non Stop,"5,942"
95,Go First,08:00,10:10,2h 10m,Non Stop,"5,942"
96,Go First,13:30,15:40,2h 10m,Non Stop,"5,942"
97,Go First,18:00,20:10,2h 10m,Non Stop,"5,942"
98,Go First,22:40,00:50,2h 10m,Non Stop,"5,942"
99,Go First,09:55,12:10,2h 15m,Non Stop,"5,942"
100,Go First,12:15,14:30,2h 15m,Non Stop,"5,953"
101,Go First,21:15,23:30,2h 15m,Non Stop,"5,953"
102,Air Asia,14:40,22:25,7h 45m,Non Stop,"5,953"
103,Air India,07:00,08:55,1h 55m,Non Stop,"5,953"
104,Air Asia,14:40,22:25,7h 45m,Non Stop,"5,953"
105,Air Asia,21:25,06:45,9h 20m,Non Stop,"5,953"
106,Air Asia,21:25,07:15,9h 50m,Non Stop,"5,953"
107,Air Asia,20:45,06:45,10h 00m,Non Stop,"5,953"
108,Air Asia,20:45,07:15,10h 30m,Non Stop,"5,953"
109,Air Asia,09:35,20:35,11h 00m,Non Stop,"5,953"
110,Air Asia,18:35,06:45,12h 10m,Non Stop,"5,954"
111,Air Asia,08:00,20:35,12h 35m,Non Stop,"5,954"
112,Air Asia,18:35,07:15,12h 40m,Non Stop,"5,954"
113,Air Asia,22:10,12:25,14h 15m,Non Stop,"5,954"
114,Go First,07:00,09:10,2h 10m,Non Stop,"5,954"
115,Go First,08:00,10:10,2h 10m,Non Stop,"5,954"
116,Go First,22:30,00:40,2h 10m,Non Stop,"5,954"
117,Go First,02:40,04:55,2h 15m,Non Stop,"5,954"
118,Go First,19:40,21:55,2h 15m,Non Stop,"5,954"
119,Go First,21:00,23:15,2h 15m,Non Stop,"5,954"
120,Go First,10:30,12:50,2h 20m,Non Stop,"5,955"
121,Go First,15:00,17:30,2h 30m,Non Stop,"5,955"
122,Go First,17:55,20:25,2h 30m,Non Stop,"5,955"
123,Go First,09:10,16:15,7h 05m,Non Stop,"5,955"
124,Air India,07:00,09:05,2h 05m,Non Stop,"5,955"
125,IndiGo,06:30,08:40,2h 10m,Non Stop,"4,919"
126,Air India,08:00,10:10,2h 10m,Non Stop,"4,919"
127,IndiGo,08:10,10:20,2h 10m,Non Stop,"4,919"
128,Air India,10:40,12:50,2h 10m,Non Stop,"4,919"
129,Air India,07:00,08:55,1h 55m,Non Stop,"4,919"
130,Air India,08:00,10:15,2h 15m,Non Stop,"4,919"
